time_s,base_x_m,base_y_m,base_z_m,roll_deg,pitch_deg,drift_m,wheel_rms_rad_s,torque_pair_rms_nm,normalized_torque_balance,all_four_contact,contact_count,FL_contact,FR_contact,RL_contact,RR_contact,FL_vertical_force_n,FR_vertical_force_n,RL_vertical_force_n,RR_vertical_force_n,total_vertical_force_n,FL_load_fraction,FR_load_fraction,RL_load_fraction,RR_load_fraction,foot_load_fraction_error_rms
0.02,-0.0005479756299735902,0.0007870347427525055,0.539305130916423,-0.0463099014398709,0.2519425548639988,0.0009590104156600467,0.989122586852409,21.357484817504883,0.04813060331389344,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0.04,-0.0019996952325867685,0.0020566300149099156,0.5373464198639355,-0.20150621721801742,0.8501648819675719,0.0028685376137430395,0.6170375850238778,17.777536392211914,0.029543948640141243,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0.06,-0.0035528002026467805,0.003457833797894268,0.5331015707458419,0.1659494911426246,1.2949395669607424,0.004957721639401198,0.8821411618844799,19.758771896362305,0.040610465375156134,0,1,0,0,0,1,0.0,0.0,0.0,364.96472497476884,364.96472497476884,0.0,0.0,0.0,1.0,0.4330127018922193
0.08,-0.0039866575688382345,0.005332073821281008,0.5263095278190982,0.8532852766994381,1.5662253035226361,0.0066576609861696496,5.94940274321413,29.68077278137207,0.09886381853996433,1,4,1,1,1,1,439.52048894195957,374.9879633872285,279.8136157144644,321.27523817432314,1415.5973062179755,0.3104841235649269,0.26489734173702034,0.19766469919474283,0.22695383550330997,0.04227992846089075
0.1,-0.00383100388729885,0.007207762338592348,0.519613063711768,0.7071026368942146,1.7476642746716131,0.008162623886602221,3.9313796139148898,16.974674224853516,0.028363393025311646,1,4,1,1,1,1,418.22255845842875,237.2802763795349,271.1827013737362,312.6379677617686,1239.3235039734684,0.33746036213913533,0.191459514500271,0.21881510396944892,0.2522650193911449,0.05489519888235041
0.12000000000000001,-0.003719613071715032,0.009630684091745147,0.5150753589682192,0.8574074745088844,1.8634238927883628,0.01032403009867108,3.407019692233323,13.248307228088379,0.017224195413762026,1,4,1,1,1,1,333.44300368180507,226.86806389262878,288.80282088478515,300.60781187237603,1149.721700331595,0.29002062289129243,0.19732432972883526,0.2511936765231887,0.26146137085668364,0.03357515592175246
0.14,-0.003826418283075915,0.012407372162466238,0.5125198240359253,1.1198490930558622,1.9853406196542258,0.012984004037853646,3.066469372282031,12.682659149169922,0.01694648195181506,1,4,1,1,1,1,336.4197096559154,204.6254261010942,291.1362720646851,273.88622534872275,1106.0676331704174,0.30415835303995514,0.18500263452656926,0.2632174229980639,0.2476215894354118,0.04283147741442804
0.16,-0.004156451658398106,0.015343013052042408,0.5114821678914439,1.3062267224148945,2.1163335788126467,0.015896041642614808,2.800842077523103,13.098481178283691,0.018027802800159066,1,4,1,1,1,1,326.57180397339266,184.22228224278524,281.0625938932227,230.48049425135673,1022.3371743607573,0.3194364952811093,0.18019718627367234,0.27492162169390383,0.22544469675131457,0.052244401198896104
0.18,-0.004687362896241518,0.01829619656492437,0.5113784860593179,1.3690635397368764,2.223384662478996,0.018887090291080093,2.5383807097652404,13.986345291137695,0.021074989368211127,1,4,1,1,1,1,307.5691578933463,165.10246595304403,261.9910278219385,184.8258335274605,919.4884851957894,0.33450028232583545,0.17955903593277547,0.28493127650875577,0.20100940523263322,0.06269469592010439
0.19999999999999998,-0.005355239157743503,0.021187628535086486,0.5117443169644471,1.3264841169100767,2.2691765989780524,0.02185392846555146,2.3112353551570752,14.06124210357666,0.02148855379400323,1,4,1,1,1,1,299.3690001855362,149.31598807935924,247.61663804599078,161.89709747259252,858.1987237834787,0.34883412418248505,0.17398766036504998,0.28853065284732793,0.18864756260513704,0.07210199834753152
0.21999999999999997,-0.006109713960068553,0.023982310547766797,0.5122895626021524,1.2164356292161878,2.238894585479431,0.02474832971906151,2.183207170271564,13.232133865356445,0.01847540367997964,1,4,1,1,1,1,291.7043449292068,130.88459787177413,240.87041086928906,153.8532199096588,817.3125735799289,0.3569067139778679,0.16014019862496867,0.29471027200064626,0.18824281539651705,0.07955625002038837
0.23999999999999996,-0.006908009643747283,0.026656590193451613,0.5128188420059235,1.0714050586391606,2.1477828690349754,0.027537145784916166,2.0379523489858946,13.509472846984863,0.018439885609836514,1,4,1,1,1,1,286.52520888685115,109.8397356520174,237.83375704664556,154.44428121106478,788.6429827965788,0.3633142183942527,0.13927688199610755,0.30157341437727847,0.1958354852323613,0.08759756372375392
0.25999999999999995,-0.0077150946546689575,0.029190776934405475,0.5132049662115004,0.9063111870299781,2.021875434120096,0.03019311417467102,1.8945817322845415,14.534780502319336,0.020242396483372047,1,4,1,1,1,1,283.47040354761396,89.62283018615713,236.62666027026944,160.2789856134082,769.9988796174487,0.36814391689562964,0.11639345531344618,0.30730779814618747,0.20815482964473675,0.0959738192073061
0.27999999999999997,-0.008512432618926858,0.0315756771242869,0.5133729607120927,0.72616304133586,1.8911215980125122,0.03270297990931384,1.7250415614297285,15.859993934631348,0.023171767721328604,1,4,1,1,1,1,282.6664313987312,74.29293424580715,235.48732694272005,167.68554309015923,760.1322356774176,0.37186481263595333,0.09773685519283165,0.3097978429146049,0.22060048925661016,0.10304757526811971
0.3,-0.009293332913450523,0.033815345628915666,0.5132825375702559,0.5290528349288348,1.780986239503331,0.03506912654519996,1.1851087793157797,17.148311614990234,0.026540795967680785,1,4,1,1,1,1,284.4585079344183,49.15616244956069,233.94584427865615,174.97902291076036,742.5395375733955,0.38308870240637033,0.06620006068660271,0.31506180134621053,0.23564943556081652,0.11825184680794297
0.32,-0.010045570725842792,0.03590001942950295,0.5129372717609308,0.31418187883251436,1.712166156898535,0.03727901401923875,1.3489685536913398,18.552427291870117,0.03074524503874948,1,4,1,1,1,1,289.90474322034436,71.41980436906759,233.14999602335234,181.79271382712574,776.26725743989,0.3734599655490339,0.09200414378497467,0.30034758491846636,0.23418830574752508,0.10367008085357067
0.34,-0.010775341180078812,0.03783443015886905,0.5123563623287903,0.08244312896345195,1.6906470299695195,0.03933893850872749,1.313429988375656,20.665836334228516,0.03672426868205878,1,4,1,1,1,1,297.5717969440155,46.67248825780849,232.1403755644587,184.8205188272085,761.2051795934912,0.39092192870117976,0.061313939406893087,0.30496426165732266,0.24279987023460456,0.12096934671558242
0.36000000000000004,-0.01148280331852552,0.039586894349622544,0.5115933815257032,-0.16196964418702958,1.7086640534706155,0.04121864840457676,1.1343725621136524,21.607572555541992,0.04050324034712244,1,4,1,1,1,1,306.5989251116467,46.07391639281901,232.44027704090627,183.67258068344543,768.7856992288173,0.3988093501468635,0.05993076671306006,0.30234729557804113,0.2389125875620354,0.12362615641756536
0.38000000000000006,-0.012171192927042709,0.04115140022198914,0.5106866906774093,-0.3838192995445195,1.7546471468799167,0.042913583834231585,1.0013469713876013,22.31019401550293,0.04382082541901683,1,4,1,1,1,1,316.43156481889895,45.282986684675066,233.45775553978393,182.04211957668656,777.2144266200445,0.40713547507732034,0.05826318340692933,0.3003775374513397,0.23422380406441062,0.12672938590050775
0.4000000000000001,-0.01284230198023201,0.042515243534355075,0.5096905714834971,-0.5642310578979602,1.8148352968778068,0.04441250559174738,0.8823773712973709,23.303442001342773,0.04767910315684446,1,4,1,1,1,1,326.2457457479245,41.783841629460866,235.30920439497552,180.57812224851352,783.9169140208744,0.4161738826051623,0.053301365083632105,0.3001711025573172,0.23035364975388836,0.13153633608992477
0.4200000000000001,-0.013496643176299259,0.04366479852616115,0.5086723615946745,-0.6987282828896991,1.8742680523298831,0.045703107195885384,0.7162091009685008,23.86842918395996,0.05027039372204015,1,4,1,1,1,1,335.3537658337408,43.3370861194163,236.71254626624093,179.7136212863328,795.1170195057308,0.42176655461633433,0.05450403532596493,0.2977078096169904,0.22602160044071037,0.1328282916329139
0.4400000000000001,-0.014131002363498705,0.044593878523733955,0.5076736056338231,-0.7865084489285254,1.9205005104351218,0.04677926067806915,0.5830060607578633,24.38480567932129,0.0524299004985725,1,4,1,1,1,1,342.7947546587926,45.26109942094367,236.78577173097344,179.48447488351476,804.3261006942245,0.4261887738852711,0.05627207594267825,0.294390262266263,0.22314888790578766,0.13347703005341235
0.46000000000000013,-0.014742616727781441,0.04529137238897699,0.5067327221786684,-0.8379774839779474,1.9456966476409887,0.04763038064995123,0.5254495504475084,24.784364700317383,0.05413865885224082,1,4,1,1,1,1,348.9452996702634,46.05630911645073,237.62565500121343,179.87341325288918,812.5006770408168,0.4294707801858654,0.056684640909089416,0.2924621009137646,0.22138247799128058,0.13435269031629138
0.48000000000000015,-0.015337835466934874,0.04574980765648909,0.5058934245808073,-0.8651921054053546,1.9447096703561333,0.0482523999135433,0.5054051513850766,25.090980529785156,0.05546064452878321,1,4,1,1,1,1,353.41037075222266,46.58118001058714,239.32730559969747,180.597429095456,819.9162854579633,0.43103226148853196,0.05681211708652582,0.291892367360433,0.22026325406450917,0.1348457288034514
0.5000000000000001,-0.01592722823844978,0.04596500468170125,0.5051919818343857,-0.873782540679064,1.916472638429872,0.048646256328195386,0.5056521813040995,25.325138092041016,0.056424196547615345,1,4,1,1,1,1,355.7548376616844,46.59230737554004,241.47346652580487,181.4682320014845,825.2888435645137,0.4310670626845505,0.056455758173468956,0.2925926703223738,0.2198845088196069,0.13506085027464879
0.5200000000000001,-0.016521031023120643,0.04593416834701014,0.5046474109350437,-0.8661881118448476,1.8635374901228836,0.04881487773003619,0.5184836132800918,25.491313934326172,0.0570507466370043,1,4,1,1,1,1,355.5243812856762,45.94512135920273,243.64603108027438,182.16847425976306,827.2840079849163,0.4297488865421878,0.05553730147777791,0.29451316443761927,0.22020064754241508,0.1350877738220995
0.5400000000000001,-0.017128456210152836,0.045655976126826626,0.504260442515189,-0.8405232906600286,1.7910798511535349,0.04876322557252018,0.5368716201965714,25.577953338623047,0.057331329761318384,1,4,1,1,1,1,353.41733705370893,44.962271209476654,245.4991023649973,182.5509020847399,826.4296127129228,0.4276436028151809,0.05440544544607844,0.2970599051492077,0.22089104658953296,0.1349781882690773
0.5600000000000002,-0.01775551734485448,0.04512934143360084,0.5040162129730178,-0.7925215926582024,1.7048767371660738,0.04849655507779856,0.5543830204278614,25.589889526367188,0.05731511517944962,1,4,1,1,1,1,349.6513496908826,43.82368482536246,246.83946891295068,182.58532007839864,822.8998235075944,0.4249014761000927,0.05325518802345207,0.2999629625156587,0.22188037336079655,0.13470899970617015
0.5800000000000002,-0.018405256785703837,0.04435340105386063,0.5038861321739686,-0.7189266669591122,1.6107152211349183,0.04802059623112048,0.5669745491005573,25.530174255371094,0.057061503404125254,1,4,1,1,1,1,344.40752641086294,42.880842533081534,247.6062824364108,182.3614586252254,817.2561100055807,0.4214193350093291,0.052469283506230036,0.30297269045161374,0.22313869103282707,0.13409941109741602
0.6000000000000002,-0.019078433201717836,0.04332855769533728,0.503832987595335,-0.6189749709808796,1.5138168932512872,0.04734290364342454,0.5655391416467509,25.394248962402344,0.056615512072885905,1,4,1,1,1,1,338.1584433991103,42.93769152585488,247.76891405270453,182.03094116376272,810.8959901414323,0.4170182705430945,0.05295092348201883,0.30554956130624095,0.22448124466864589,0.13272189145613172
0.6200000000000002,-0.019774451199634287,0.04206041604242628,0.5038101533731535,-0.49581322842134684,1.4179679045647462,0.04647695684862239,0.4769662051649646,25.19632911682129,0.05606011835865893,1,4,1,1,1,1,331.32033562422157,32.793218052021814,247.27878655951858,181.76144427121335,793.1537845069753,0.41772521558372244,0.04134534650478418,0.3117665090802374,0.22916292883125602,0.13776592244334693
0.6400000000000002,-0.020486930737749792,0.04054702685616611,0.5037744165917095,-0.35213409508527593,1.330536778984198,0.045428798332423595,0.5237674768675743,24.974082946777344,0.055657886248392296,1,4,1,1,1,1,324.43084110657696,56.28206806682636,246.76293457804547,181.75647124514776,809.2323149965965,0.40091187053984795,0.06954995126098378,0.3049346028390912,0.22460357536007716,0.12144896225712377
0.6600000000000003,-0.02122113107992331,0.03880808656040351,0.5036879920410818,-0.20216322258932987,1.2511248879004953,0.04423125576773802,0.4677565539704453,24.727426528930664,0.05522590996206058,1,4,1,1,1,1,317.95119487308375,35.690604745348125,246.0685449962735,181.75843251748995,781.4687771321953,0.4068635935013156,0.04567118455624569,0.3148795603828045,0.23258566155963414,0.13310622480332707
0.6800000000000003,-0.0219756148877904,0.03684805484168037,0.5035431920701684,-0.055452917589332004,1.1806943125223792,0.04290345901337046,0.4592352836229928,24.506763458251953,0.055057568069949804,1,4,1,1,1,1,311.47330417367596,49.83670556251295,245.3166407436657,182.2370909017008,788.8637413815554,0.39483790144567366,0.06317530258803981,0.3109746688497014,0.23101212711658511,0.12243358895358804
0.7000000000000003,-0.02275389604459388,0.034690495080183674,0.5033189249677168,0.09118197120823866,1.1201722633755218,0.04148698873281155,0.4500391400118822,24.98603057861328,0.05626199731323709,1,4,1,1,1,1,305.58389967555,62.75736472927859,244.48360368810674,183.16918502070257,795.994053113638,0.38390223957103375,0.07884149948582493,0.3071425002885087,0.23011376065463257,0.11278937218874263
